comment,overall_satisfaction,recommend,product_quality,repurchase_intent,support_rating
"@LeoDochertyUK @RishiSunak Hope you didn’t buy too many of those Boris T shirts. Second thoughts, hope you did",5,yes,5,5,5
"@MonarchyUK Exactly how is #RishiSunakPM Asian?

He was born in Southampton which is in Europe not Asia.",3,yes,3,3,3
@theresa_may @RishiSunak Piss off,2,no,2,2,2
"Uber has no cars.
Airbnb has no real estate.
The UK has """"No Government"""".

This is the New Economy..

#LizTrussPM #LiztrussResign #UK #RishiSunak #GeneralElectionNow #BritishPM #ConservativeParty",2,no,2,2,2
"Another clown show here: the UK just got another unelected PM, Rishi Sunak. Can't wait for this idiot to resign in a month.",1,no,1,1,1
@Jeremy_Hunt @RishiSunak But you’ve been in government for the last 12 years and caused the mess that we need to get out of #GeneralElectionNow,2,no,2,2,2
@Snorkyno4 @SkewSmug @Jacob_Rees_Mogg @RishiSunak Fingers crossed,3,yes,3,3,3
"@financialtrivia @RishiSunak On the contrary, both selected by the subscribers.",3,yes,3,3,3
@narendramodi @RishiSunak Why we the people must understand what now we have to do and make massive changes for ourselves!  Our corrupted governments and politicians don't care for all of us!,2,no,2,2,2
"@Kr66E @AllThatRumpus @PrifWeinidog @maxblunt @RishiSunak That's not true. Read the report, or better still, watch the video I'm publishing tomorrow",3,yes,3,3,3
"@Jacob_Rees_Mogg @RishiSunak JRM I’ve always liked you but this is not democracy and that is why so many will not vote Tory again. You have broken the manifesto and have not delivered anything tangible that you said you would. Immigration is a joke, Net Zero is a Con the Con goes on.",3,yes,3,3,3
@Conservatives @RishiSunak Democracy is dead,1,no,1,1,1
"#RishiSunak could give ten pounds (£10) to every single person living in Britain and the north of Irelanf, and he *would still* have over £5,700,000 to live off. More than any of us will ever see. 

That's before his PM wages and pension. 

Man of the people.",3,yes,3,3,3
"@kateflett @MattHancock @RishiSunak Oh my goodness, his little face, that bottom lip...I'm welling up here...💕😭😥🙁😅🤣🤣😂",5,yes,5,5,5
"@RishiSunak What about Boris Johnson as Foreign Secretary, ideal I would have thought in these uncertain times with the Ukraine Russian war and his ties with Ukraine.",2,no,2,2,2
"@rec777777 @trussliz @RishiSunak @reformparty_uk @BorisJohnson I’m very discerning you see. I don’t follow people unless I want to and I block many many more people that I don’t want following me. 
A brief look at the ridiculous list of your follow/followers shows me how deluded you are. 
Quality over quantity. Every. Single. Time… 😂😂",4,yes,4,4,4
@RishiSunak Hello My Name is Sandra from Germany,3,yes,3,3,3
@trussliz @RishiSunak I'm pretty sure that counts for less than nothing,5,yes,5,5,5
@WillGrange_ @DominicRaab @RishiSunak #rishisunak stick to hosting parties at the cinnamon club for your cronies. We do not want you as our PM.,4,yes,4,4,4
"A couple of hundred people want Sunak as PM. Meanwhile 871,936 people want a General Election. #GeneralElectionsNow #Generalelectionnow #RishiSunak",3,yes,3,3,3
"Here we go, now @BorisJohnson's no longer Prime Minister, I hardly ""tweet"" about @BorisJohnson anymore. Now @TrussLiz is no longer Prime Minister, I hardly ""tweet"" about @TrussLiz anymore. Hello to a new dawn of constant bashing of @RishiSunak here on @twitter.",2,no,2,2,2
@Jacob_Rees_Mogg @RishiSunak Until you decide it isn’t again? Can’t wait till you’re resigned to the dusty leather-bound book of Victorian ghost stories you came from forever,2,no,2,2,2
Someone run a book on how long it takes for the factions in the Conservative party to tear each other apart. #RishiSunak,4,yes,4,4,4
@murdo_fraser @RishiSunak It would have been interesting to see the outcome of a vote between @RishiSunak &amp; @PennyMordaunt by Tory members.,4,yes,4,4,4
"@PaulBrandITV Rishi Sunak isn’t Prime Minister yet, won’t happen until tomorrow.  As for devolution so many here in Scotland know it’s been a waste of time, money &amp; energy.  We’re none the better for it after all these years.",2,no,2,2,2
@Barnesy19 @meadwaj @Conservatives @RishiSunak @JakeBerry The media has also long downplayed the issue of Tory racism.,1,no,1,1,1
@Jacob_Rees_Mogg @RishiSunak crawling snivelling toe rag,3,yes,3,3,3
@Whirlygig5 @RishiSunak @Jeremy_Hunt Really? I’m pretty happy. Grown up politicians at last.,5,yes,5,5,5
@blockmesideways @TiceRichard @RishiSunak @reformparty_uk Not further right when the tory party has lurched to the left. Its actually where the tory party should be.,5,yes,5,5,5
"Much delighted to know that #RishiSunak will not become UK's PM as he has lost his political campaign. 
Cow Pooja did not paid off it seems!",4,yes,4,4,4
@Boris1sYourPM @lockel62 @BellesJuniors @RishiSunak Good riddance!,4,yes,4,4,4
"We're specialized in 
✓Assignments due
✓essay write
✓Calculus1,2
✓Dissertation
I'm willing to Pay someone good at 
✓Exams
✓Thesis
✓Statistics
✓Economics..
✓Law.
✓Homework
✓Chemistry
✓History.
✓math
#RishiSunak",4,yes,4,4,4
"@piersmorgan @RishiSunak From the two candidates Rishi Sunak is by far the most qualified his in depth knowledge of finance is a bonus, I'm very interested to see what plans he has for the recovery of the economy.",5,yes,5,5,5
"British ruled India by force.

Indian going to rule Britain by democracy.

#RishiSunak",3,yes,3,3,3
@AJEnglish I totally agree with this #MP’s solid opinion. These are the hard facts #English people have ignored in a hurry to put #RishiSunak on the throne of world’s oldest #democracy.,3,yes,3,3,3
@JustinWelby @RishiSunak Any prayers for the rest of us?,3,yes,3,3,3
"@sneheshphilip @RishiSunak Meanwhile, elect a minority in India and people will call it ‘minority appeasement’.",3,yes,3,3,3
"#RishiSunak confirmed as new PM as Mordaunt withdraws from race. Johnson only got the backing of 'just over 50 MPs'. Sunak is Britain's youngest, first non-white PM.",3,yes,3,3,3
"It's funny bc when someone of an ethnic minority occupies the ""top job"" in a British power system ppl start to question the legitimacy of that system. And in a way they're absolutely right cos if the system was truly of the ppl ""the people"" simply wouldn't allow it #RishiSunak",5,yes,5,5,5
@PrifWeinidog @RishiSunak And in a way you didn’t allow when you ruined Wales with your over the top rules and restrictions during Covid. You’re a hypocrite and just as bad as the rest of them.,2,no,2,2,2
@DD98209210 @Paul_Kearns01 @Jacob_Rees_Mogg @RishiSunak Manifestos and tories ?🤣,4,yes,4,4,4
So is #RishiSunak the PM for November 🤔🤔 Who will we get for December 🤔🤔. A,3,yes,3,3,3
@BullshitBuster_ @ABridgen @RishiSunak @Conservatives If only.,3,yes,3,3,3
@joshbrownuk @RishiSunak Oh dear remember what you said after next GE,4,yes,4,4,4
Congratulations to new temporary Prime Minister Rishi Sunak,4,yes,4,4,4
@OleKituar @meshacko2 @makaumutua @BarackObama @RishiSunak @HonAdenDuale In fact 2027 I'll vote for achievement.,3,yes,3,3,3
@JustinWelby @RishiSunak This has to be a parody account.,3,yes,3,3,3
@JustinWelby @RishiSunak Very sinister what you after🐍 wasn't so civil to Boris thought church ment to stay out of politics #RishiSunakNotMyPM does not need prayers nor does #ConservativeParty it's rest of us who need prayers after mess they have created😭😭 no one voted for #ToriesCrashedTheEconomy,1,no,1,1,1
I’m gutted for #RishiSunak because after working hard for weeks with virtually no chance of success he’s finally in touch with the electorate.,4,yes,4,4,4
@Jacob_Rees_Mogg @RishiSunak 😀 you still looking fir  seat on the bench...... hope Rishi Sunak dosent give u any one...,5,yes,5,5,5
"@kumar_potteti Rishi Sunak went to Stanford and Winchester college &amp; he deserves to be the PM, he has a vision for UK &amp; moreover elected. Tell me what's the highest qualification of Sonia Gandhi except she is a wife of a former PM who reaches to that level only because of dynastic politics.",4,yes,4,4,4
"@LeoDochertyUK @RishiSunak Well, there had better be no more backstabbing. If your party cannot behave, then none deserve to be in WM. The damage done to your party and mainly the country will remain in the memories of many in the population. They have let the country down.",5,yes,5,5,5
"@David_Cameron @RishiSunak @Conservatives He was born in this country, so what has his parentage got to do with being PM #PoshBoy?  Get back in your box little man.",3,yes,3,3,3
@Jeremy_Hunt @RishiSunak Nice message- till it enters fantasy land in the last line. Not a rhetorical point- they still don´t get it. Outside the EU- zero potential.,4,yes,4,4,4
"@Conservatives @RishiSunak certainly not ""elected"" ...please change to ""appointed""",3,yes,3,3,3
@BimAfolami @RishiSunak GE NOW!!! Let the people show you how well you've done 👍👏👏👏👏,4,yes,4,4,4
@JakeBerry @RishiSunak Nope... stuff him,3,yes,3,3,3
@piersmorgan @RishiSunak No one gives two craps about his race or skin color. He is a WEF puppet and is all for digital currency. #Freedom,4,yes,4,4,4
"@trussliz @RishiSunak In any sane world your support should count for absolutely nothing.  The amount of suffering you have caused by your total ineptitude and slavish adoption of ERG cult ideology that not only is cruel and unfair but also DOES NOT WORK!
There is cult deprogramming therapy, get some",3,yes,3,3,3
@RishiSunak Thanks a bunch for Brexit. That's going to be as popular as the Iraq war soon,4,yes,4,4,4
"You ever notice when a country fails, they put it on a brown person to steer the ship? #RishiSunak #PrimeMinister",2,no,2,2,2
"@trussliz @RishiSunak Liz you fell flat on Rishi Sunak's traps,  he played you because he can't get the chair the right way.",4,yes,4,4,4
"@JoeConnolly66 @pelliott1954 @trussliz @RishiSunak Joe, the best government this century was Blair’s..no doubt about it and evidence is there…..no communism manifesto was there??
I personally pick and choose policies and so of the left are perfectly sound…as are some of the right!!",5,yes,5,5,5
@Jacob_Rees_Mogg @RishiSunak Haha. Desperately trying to cling onto your job. Vile man.,2,no,2,2,2
"It is clear that  #RishiSunak, #PritiPatel and #SuellaBraverman are actively working to destabilise the @trussliz Govt from within the @Conservatives party! 

Is Adani funding their campaigns? He did it with Modi in India and #ScottMorrison in Australia! 

Time to investigate!",5,yes,5,5,5
@Conservatives @RishiSunak I don’t t think he was elected! Who voted for him?,3,yes,3,3,3
@RupertMyers @RishiSunak Was that ending because he didn't have billions of furlough money to give away?,3,yes,3,3,3
@JustinWelby @RishiSunak The last people he’s going to help are ‘those who need it most’.  But it’s all good lots of opportunities for you to show how pious you are by acts of charity.,5,yes,5,5,5
@ora78890690 @RishiSunak @Conservatives Nor me mate,3,yes,3,3,3
"#RishiSunak Same difference!

Trickle Down Economics
Trickle Down Economic
Trickle Down Economi
Trickle Down Econom
Trickle Down Econo
Trickle Down Econ
Trickle Down Eco
Trickle Down Ec
Trickle Down E
Trickle Down
Trickle Dow
Trickle Do
Trickle D
Trickle
Trickl
Trick",3,yes,3,3,3
"@Conservatives @RishiSunak Now take it to the country, but you wont cause you know damn well you would lose.",1,no,1,1,1
@Conservatives @RishiSunak Who did he stand against in this so called election. Bloody Facist shit show.,1,no,1,1,1
"@ShashiTharoor @RishiSunak You mean Barak Obama  was not a visible minority. 
You mean Dr MMS was not. 
What are you saying
Sunak's Father was born in Kenya  mother in Tanzania 
Grandparents  migrated  from Punjab, Pakistan",3,yes,3,3,3
"This is a great Diwali, United Kingdom gets its first non-white, Hindu Prime Minister in the form of @RishiSunak in over 200 years of its democracy. 

#RishiSunak",5,yes,5,5,5
@VonClownsewitz @RishiSunak @trussliz The input inflation rate of lettuce was up by 18% in April this year. How could anyone hope to defeat something like that? All hail Lord Lettuce!,4,yes,4,4,4
@NicolaSturgeon @RishiSunak Did he call you yet?,3,yes,3,3,3
"@holte No to #RishiSunak
No to #BorisJohnson
No to #PennyMordaunt

Yes to #GeneralElectionNow",2,no,2,2,2
@Jacob_Rees_Mogg @RishiSunak Strange little man you.,2,no,2,2,2
congrats !!#RishiSunak,5,yes,5,5,5
The mists  clear as we all realise the only thing worst than a Conservative chancellor is a Conservative chancellor who hasn’t got  a f@**ing clue what he is doing  #KwasiBudget #rishisunak,2,no,2,2,2
@Jacob_Rees_Mogg @RishiSunak I think you should rename yourself as Jackass Rice-Mute. Your rice-like blandness is only spiced by the venomous condescending attitude and as that patronising tone of voice is unbearable I just press Mute on TV. If I were @RishiSunak I would watch my back if you are in sight.,2,no,2,2,2
"If you have the power to hurt, remember that life is a debt that you will pay back
#UkraineWar 
#RishiSunak 
#Pound 
#oilandgas",1,no,1,1,1
"Somewhere in India:

Child: Mom, Once I grew up, I will become CEO of a multi trillion company in USA.

Mom: No Beta, you should become President of USA.

@RishiSunak 
#RishiSunakPM",2,no,2,2,2
"@narendramodi @RishiSunak He could barely speak Hindi, probably knows nothing whatever about India．",3,yes,3,3,3
@narendramodi @RishiSunak Heartiest congratulations and best of luck Mr. Rishi. May the blessings of God ne with you.,5,yes,5,5,5
"They've set it at 100 to stop Boris. 
#RishiSunak is the only with confirmed numbers.",2,no,2,2,2
@_RobbieMoore @RishiSunak none of us voted for this !!,3,yes,3,3,3
@RishiSunak You have more faces than big ben!,3,yes,3,3,3
"One of two Tories who played a part in the mess we are in now are soon to become Prime Minister, can you actually believe this absolute shit show ? #LizTruss #RishiSunak #GeneralElectionNow",2,no,2,2,2
@LornaCWilko @wilsonsinfc @askeyJ_56 @Jacob_Rees_Mogg @RishiSunak Boris wanted to end lockdowns not Sunak,3,yes,3,3,3
"@moneillsf @RishiSunak The memory loss of sinn fein is incredible, I do recall you closed government down for 3 years 🤷‍♂️",2,no,2,2,2
"#RishiSunak is not Indian, he is British of Indian origin.
He is not going to rule as PM, he will serve the people.

वसुधैव कुटुम्बकम🙏",3,yes,3,3,3
@nitinjolly11 Literally every faceless krantikari to Rishi Sunak on Twitter today 🤣,4,yes,4,4,4
@PennyMordaunt @PennyMordaunt unfortunately I’m one of the many thousands who have cancelled my membership after the way the snakes 🐍 and backstabbers have acted just to get @RishiSunak into No10  @Number10press. No vote for the members what’s happened with a democratic vote. Time for a GE,1,no,1,1,1
"@JustinWelby @RishiSunak Aw, is a net worth of £750 million fortune not blessing enough? How many peices of silver did you get for using your platform to smear Corbyn? Hypocrite.",2,no,2,2,2
"Green Greenpeace ....

""Just now, &gt; 30 activists occupied Parliament to bring Rishi Sunak a clear message. They occupied the corridor leading to the House of Commons chamber, covered the area with energy bills while holding a banner: ‘Chaos Costs Lives’.""",4,yes,4,4,4
"I would like Rishi Sunak to blink.

(and to save the NHS, look after people who need it, progress LGBTQ+ rights, and invest in education) 

The first option is more likely.",5,yes,5,5,5
"Rishi Sunak is son-in-law of  Narayana Murthy of Infosys which has allowed moonlighting ; with the short animated televised address, looks like the Goldman Sachs MBA has already picked up Modi's teleprompter job !",4,yes,4,4,4
@DontTrustTheFl1 @piersmorgan @RishiSunak To the Sikhs or the Afgans?,3,yes,3,3,3
"@Nigel_Farage @RishiSunak ....""the Conservatives are doomed...."" Well the reality will show that UK taxpaying citizens are doomed. Sunak is WEF. Sunak will deploy CBDCs , to quote him; ""They will be programmable"", which will mean. !Social Credit System! and Slavery. Good luck UK you need more than ""talk""",1,no,1,1,1
@chiliastic @TarekFatah @RishiSunak Uk pm is nothing but  puppet of USA. We all know that. Its just awain celebration.,3,yes,3,3,3
@AngelaRayner @phoenixboy2015 The Tories just wanted someone who will allow them to continue to parasitise the country and the British public without any consequences. @RishiSunak will do just that.,4,yes,4,4,4
@narendramodi @RishiSunak He won’t be there long. #GeneralElectionN0W,3,yes,3,3,3
@kateflett @MattHancock @RishiSunak And pretending he doesn't mind.,3,yes,3,3,3
@MattHancock @RishiSunak He caused the economic mess 🤡,2,no,2,2,2
@Conservatives @RishiSunak It really is like Musical Chairs.,4,yes,4,4,4
@andreajenkyns @RishiSunak Like you all united for Boris and Truss? Too late I'm afraid.  As far as I'm concerned this was a coup and I am appalled.,4,yes,4,4,4
"@Egogjp @akshay_c8688 @ColinTo73526375 @piersmorgan @RishiSunak True,but still that's my personal wish to make them feel what countries like India, Pakistan, Nigeria, kenya , srilanka, zimbawe south Africa felt",5,yes,5,5,5
"@makaumutua @BarackObama @RishiSunak @HonAdenDuale Remember Obama's speech on race that arguably gave him the presidency?The supplication and even kowtowing in the face of the recoiled all-destructive powers of race?Bad example,isn't it?So is your choice of the two.Raila run a rampaging campaign machine underwritten by the state.",2,no,2,2,2
"@vivekagnihotri @RishiSunak He is hard-core leftist. His father in law Narayan murthy was chairman of ford Foundation in India which always funding anti Indian NGOs. Infosys also funding altnews.
You can verify in detail on TL of @vijaygajera for more Information with authentic sources.",2,no,2,2,2
How long are we giving Rishi? #GeneralElectionN0W #RishiSunak #LabourParty,4,yes,4,4,4
@Jacob_Rees_Mogg @RishiSunak Is hoping for @RishiSunak to resign asap...,3,yes,3,3,3
"@Brexistential1 @thecarolemalone @SuellaBraverman @RishiSunak Says it all really, a failed rag supporting a succession of failures...",2,no,2,2,2
@darrengrimes_ And @Penny4Britain for Deputy PM? @RishiSunak,3,yes,3,3,3
"@ShashiTharoor @RishiSunak This shows the shamelessness of the party of Bootlickers who think that 22-crore community is the ONLY minority community in India.
If you have so much love towards them, then why didn't your party make anyone as PM from that community in your 50+ years of ruling?
(3/3)",4,yes,4,4,4
@narendramodi @RishiSunak Congratulations 👏🏻,4,yes,4,4,4
@Conservatives @RishiSunak Bloody hell .. you’ve elected a robot … zero connection to the people,1,no,1,1,1
Does anyone think that the master from Dr Who looks like Rishi are next PM lol.. . .very similar traits too #drwho #RishiSunak,5,yes,5,5,5
LIz truss gets voted in by members 44 days later she resigns 🤔 then what a week later the conservatives party get rishi sunak!! Corrupt politicians tried to stop brexit but failed! The conservatives got one over us this time.….,1,no,1,1,1
@emilyhewertson @RishiSunak I'm not and have just resigned my membership and won't be voting for them in the future,2,no,2,2,2
@RishiSunak @SAMUELUSA2 Are you going to take us out the ECHR and stop the illegals?,2,no,2,2,2
"@narendramodi @RishiSunak An Indian will rule the English. 
Thanks to Modiji.",4,yes,4,4,4
"@zerohedge ALL #WEFpuppets need to go. #Trudeau #RishiSunak?? #Macron, XiJinping, #Ardern,  #Rutte. They infect the free world from within, and it's rotting away like a infected limb. Soft healers make stinging rotten wounds. It's a rotten world #coup from within that is causing metastases",1,no,1,1,1
"@kateflett @MattHancock @RishiSunak For a moment I thought this was staged, it’s like the most artificially assembled Tory looking group of people you’ve ever seen. But totally real.",3,yes,3,3,3
@Partap_Sbajwa @RishiSunak Yes can say him of Indian origin as his grandfather shifted to Narobi in 1935 from Gujaranwala (Now in Pakistan) and father Yashraj Sunak shifted to Britain in 1970s... Rishi Sunak born in 1980 in Britain.,4,yes,4,4,4
"@itweet_twee @piersmorgan @RishiSunak #RishiSunak or no Rishi sunak. UK is racist country and last resort for all the fugitives of the world. No wonder, its sinking.",1,no,1,1,1
I think this time must appreciate British parliament system. This is victory of real democracy. #RishiSunak,4,yes,4,4,4
When is #RishiSunak on a plane for a photo opportunity with that #ZelenskyWarCriminal,4,yes,4,4,4
"“The first rule of conservatism is thou shalt not speak ill of other conservatives.”

Bob Seeley MP quoting with credit to Ronald Reagan on Sky News just.

FFS! Let’s give it a go even if we must say with a big C.

#RishiSunak",2,no,2,2,2
@at67435 @BrandonLewis @RishiSunak They don’t care watch Dan Wooten on catch up at 9.50 the MPs and @1922Committee gloating how they got one over on members,4,yes,4,4,4
@Jacob_Rees_Mogg @RishiSunak You’re out of a job mate 🤣🤣🤣,5,yes,5,5,5
"Ready for #RishiSunak 
Second diwali gift for our state 🇮🇳",5,yes,5,5,5
"@John4Carlisle @RishiSunak_PM @Conservatives To top it off, I’d bet he’s the least experienced PM in UK history.

After the succession of chaotic leaders the public have been subjected to over the last 3 years, a credible MP would call for an election. Then again you supported Truss’s mini budget, so… what credibility?",3,yes,3,3,3
@trussliz @RishiSunak Arse,3,yes,3,3,3
@DehennaDavison @RishiSunak Big challenges because of a disastrous government.,2,no,2,2,2
"@sophielouisecc Being a general public, we have to understand who the right person is now to bring the sinking ship back to the water top. #RishiSunak will be best choice for UK now and no public blindly supports anyone so easily.",5,yes,5,5,5
"@amandamilling @RishiSunak Too late, the party is over.
The Members have been taken for fools.
The members were the backbone of the Tory party.
With the backbone gone, you will be left with spineless MPs.",4,yes,4,4,4
"@Innovationboxes @dianapetix @NixJPayne @RishiSunak @BorisJohnson @10DowningStreet @Keir_Starmer to look after the patients who could not or would not go to a GP. Now they go to A&amp;E. 
Nurses need a career path into hospital management (Pre NHS senior hospital management was Superintendent, Chief Surgeon or Physician, and the Matron - Cottage hospitals just a Matron.)",3,yes,3,3,3
@trussliz @RishiSunak Just hope he is not as useless as you!,5,yes,5,5,5
@Sassy_Hindu Wow congratulations Rishi Sunak,5,yes,5,5,5
"Rishi Sunak:  I'll work with Integrity and humility, I'll work day in day out to deliver to British people",4,yes,4,4,4
"@Conservatives @RishiSunak General election now. 
#GeneralElectionNow #generalelection",3,yes,3,3,3
@BrineMP @RishiSunak Make the most of it while you can,3,yes,3,3,3
"At 42, Rishi Sunak becomes the youngest British PM and of Hindu.",3,yes,3,3,3
"@JustinWelby @RishiSunak Give over, reverend matey.",3,yes,3,3,3
@pradeepmagazine @RanaAyyub #RishiSunak was born in the UK. Understand your meltdown,3,yes,3,3,3
@PennyMordaunt Year you chose to roll over &amp; hand @RishiSunak the job that no party members or the electorate voted for. It’s a good job you didn’t do it as you all clearly putting your own agendas above what the actual job is. Disgusting and more than happy to change vote to labour now,5,yes,5,5,5
"@RuthDavidsonPC @RishiSunak Elected?
Not really.
Not in the traditional sense of the word.",3,yes,3,3,3
"I look forward to the continuation of the close and friendly cooperation between your government and our government led by H.E @WilliamsRuto based on mutual confidence and respect, which has bound our countries so closely for so long.
With warmest personal regards.
#RishiSunak",5,yes,5,5,5
@piersmorgan @RealTroyFrancis @RishiSunak I get the feeling people think he’s going to fix the global economy. Unfortunately this will be well beyond his reach. Best we can hope for are some intelligent policy’s that make the best of a very bad global financial situation. Finger crossed!,5,yes,5,5,5
