comment,overall_satisfaction,recommend,product_quality,repurchase_intent,support_rating
"Absolutely love this product! Fast shipping and excellent quality.",5,yes,5,5,5
"Terrible experience. The item arrived broken and support ignored me.",1,no,1,1,1
"It's okay, nothing special but works as expected.",3,yes,3,3,3
"Great value for money. Highly recommend to anyone looking for this.",5,yes,4,5,4
"Disappointed with the quality. Felt cheap and broke after a week.",2,no,1,2,2
"Customer service was fantastic and resolved my issue quickly.",4,yes,4,4,5
"Meh. Average product, average service. Wouldn't rush to buy again.",3,no,3,2,3
"Best purchase I've made this year! Exceeded all expectations.",5,yes,5,5,5
"Waste of money. Completely useless and misleading description.",1,no,1,1,1
"Pretty good overall. Minor issues but I'm satisfied.",4,yes,4,4,3
"The packaging was poor and the product scratched on arrival.",2,no,2,2,2
"Superb quality and thoughtful design. Will buy again for sure.",5,yes,5,5,4
"Not bad, but I've seen better alternatives for less money.",3,no,3,2,3
"Amazing! My family loves it and we use it every day.",5,yes,5,5,5
"Frustrating checkout process and late delivery ruined everything.",1,no,2,1,1
"Solid product. Does what it claims without any fuss.",4,yes,4,4,4
"Hate it. Returned immediately. Never shopping here again.",1,no,1,1,1
"Decent quality and fair price. Happy enough with the purchase.",4,yes,4,4,3
"Support was rude and unhelpful when I asked a simple question.",2,no,3,2,1
"Wonderful experience from browsing to delivery. Five stars!",5,yes,5,5,5
"The product is fine but shipping took forever.",3,yes,4,3,2
"Impressed by the build quality and attention to detail.",5,yes,5,5,4
"Could be better. Some features feel unfinished or buggy.",2,no,2,2,3
"Absolutely thrilled! Worth every penny and more.",5,yes,5,5,5
"Neutral feelings. It works, I guess. Nothing to complain about loudly.",3,yes,3,3,3
"Poor materials and even worse instructions. Very confusing.",2,no,1,2,2
"Friendly staff and quick refund when something went wrong.",4,yes,3,4,5
"I regret buying this. Low quality and overpriced.",1,no,1,1,2
"Really enjoyable to use. Smooth and reliable so far.",4,yes,4,4,4
"Horrible smell out of the box and stains everywhere.",1,no,1,1,1
"Good enough for the price. Met my basic needs.",3,yes,3,3,3
"Outstanding customer care and a product that just works.",5,yes,5,5,5
"Slightly underwhelming. Expected more based on the reviews.",2,no,2,2,3
"Love the design! Clean, modern, and practical.",5,yes,5,4,4
"Service was slow and the refund process was a nightmare.",1,no,3,1,1
"Quite satisfied. Would recommend to friends and family.",4,yes,4,4,4
"It's alright. Neither impressed nor disappointed.",3,yes,3,3,3
"Fantastic upgrade from my old one. Night and day difference!",5,yes,5,5,4
"Broken zipper on day two. Extremely unhappy.",1,no,1,1,2
"Helpful chat support fixed my account issue in minutes.",4,yes,4,4,5
"Mediocre at best. Looking elsewhere next time.",2,no,2,2,2
"Perfect gift. Recipient was delighted!",5,yes,5,5,5
"The app crashes constantly. Unusable for daily work.",1,no,1,1,2
"Reliable and durable. Exactly what I needed.",4,yes,5,5,4
"A bit pricey but the quality justifies it.",4,yes,4,4,3
"Unpleasant surprise — missing parts in the box.",2,no,2,1,2
"Delighted with how easy setup was. Zero hassle.",5,yes,5,5,5
"Average experience. Might buy again if there's a discount.",3,yes,3,3,3
"Very unhappy with color mismatch and late reply from support.",2,no,2,2,1
"Excellent! Smooth transaction and premium feel.",5,yes,5,5,5
"Not worth the hype. Overrated and underwhelming.",2,no,2,2,2
"Pleasantly surprised by how well it performs.",4,yes,4,4,4
"Disaster from start to finish. Avoid this seller.",1,no,1,1,1
"Good product, okay packaging, friendly follow-up email.",4,yes,4,4,4
"I feel indifferent. It does the job and that's it.",3,yes,3,3,3
"Top-notch quality and lightning-fast delivery!",5,yes,5,5,5
"Cheap plastic and weak hinges. Falling apart already.",1,no,1,1,2
"Satisfied overall despite a small delay.",4,yes,4,3,3
"Worst purchase of the month. Completely misleading ads.",1,no,1,1,1
"Beautiful finish and great ergonomics. Highly pleased.",5,yes,5,5,4
"Very positive experience. Everything worked smoothly from start to finish.",5,yes,5,5,5
"I am unhappy. Product failed quality checks and smelled weird.",1,no,1,1,2
"Neither good nor bad. Standard experience overall.",3,yes,3,3,3
"Loved the colors and fit. Ordering another one soon.",5,yes,5,5,4
"Angry about the delay and lack of updates from support.",1,no,2,1,1
"Nice product. A few rough edges but still worth buying.",4,yes,4,4,3
"Totally unacceptable. Fake reviews and defective item.",1,no,1,1,1
"Grateful for the quick replacement. Restored my trust.",4,yes,4,4,5
"Ordinary quality. Expected something a bit better.",3,no,3,2,3
"Brilliant! Makes my daily routine so much easier.",5,yes,5,5,5
"Sadly defective. Buttons stuck and screen flickered.",1,no,1,1,2
"Comfortable to use and clearly well designed.",4,yes,5,4,4
"The experience was bland. Functional but forgettable.",3,yes,3,3,3
"Cheerful packaging and a delightful unboxing moment.",5,yes,4,4,4
"Upset that the size chart was wrong. Had to return it.",2,no,2,2,2
"Reliable seller. Accurate listing and honest description.",4,yes,4,4,4
"Miserable quality control. Scratches and dents everywhere.",1,no,1,1,1
"Pleased with battery life and overall performance.",4,yes,4,5,4
"Just okay. Arrived as expected with no surprises.",3,yes,3,3,3
"Joyful customer here. This exceeded the product page claims.",5,yes,5,5,5
"Frustrated by confusing manuals and missing screws.",2,no,2,2,2
"Warm, helpful replies from support made a big difference.",4,yes,4,4,5
"Bad taste left after being overcharged then ignored.",1,no,2,1,1
"Impressive engineering. Quiet, efficient, and sturdy.",5,yes,5,5,4
"Mildly disappointed. Color faded after one wash.",2,no,2,2,3
"Content with the purchase. Good balance of price and quality.",4,yes,4,4,3
"Useless gadget. Returned within the week.",1,no,1,1,2
"Positive vibes all around. Clean UI and fast results.",5,yes,5,4,5
"Somewhat average. Might keep it, might not.",3,yes,3,3,3
"Thrilled with the upgrade path and warranty coverage.",5,yes,5,5,5
"Annoyed by constant notifications and buggy updates.",2,no,2,2,2
"Happy customer service turned a problem into a win.",4,yes,3,4,5
"Dreadful quality for the price point. Avoid.",1,no,1,1,1
"Satisfyingly simple. No learning curve at all.",4,yes,4,4,4
"Calm, steady performance. Exactly what I wanted.",4,yes,4,4,4
"Bitter about false advertising and hidden fees.",1,no,1,1,1
"Fresh design language. Looks premium on my desk.",5,yes,5,5,4
